entry,reading,level,root,form,meaning_bn,aspect,person,arabic,bangla,source_pdf,source_page,note
1,1,1,قول,I,বলা,PERF,3MS,قَالَ,সে বলেছে,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,PERF,3MP,قَالُوا,তারা বলেছে,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,PERF,2MS,قُلْتَ,তুমি বলেছো,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,PERF,2MP,قُلْتُمْ,তোমরা বলেছো,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,PERF,1S,قُلْتُ,আমি বলেছি,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,PERF,1P,قُلْنَا,আমরা বলেছি,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,IMPF,3MS,يَقُولُ,সে বলে / বলবে,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,IMPF,3MP,يَقُولُونَ,তারা বলে / বলবে,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,IMPF,2MS,تَقُولُ,তুমি বল / বলবে,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,IMPF,2MP,تَقُولُونَ,তোমরা বল / বলবে,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,IMPF,1S,أَقُولُ,আমি বলি / বলবো কথিা বাচক,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,IMPF,1P,نَقُولُ,আমরা বলি / বলবো কথে বাচক,Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,IMPV,2MS,قُلْ,বলো (তুমি),Quran words - level1.pdf,31,
1,1,1,قول,I,বলা,IMPV,2MP,قُولُوا,বলো (তোমরা),Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,PERF,3MS,كَانَ,সে ছিলো,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,PERF,3MP,كَانُوا,তারা ছিলো,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,PERF,2MS,كُنْتَ,তুমি ছিলে,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,PERF,2MP,كُنْتُمْ,তোমরা ছিলে,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,PERF,1S,كُنْتُ,আমি ছিলাম,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,PERF,1P,كُنَّا,আমরা ছিলাম,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,IMPF,3MS,يَكُونُ,সে হয় / হবে,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,IMPF,3MP,يَكُونُونَ,তারা হয় / হবে,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,IMPF,2MS,تَكُونُ,তুমি হও / হবে,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,IMPF,2MP,تَكُونُونَ,তোমরা হও / হবে,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,IMPF,1S,أَكُونُ,আমি হই / হবো,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,IMPF,1P,نَكُونُ,আমরা হই / হবো,Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,IMPV,2MS,كُنْ,হও (তুমি),Quran words - level1.pdf,31,
2,1,1,كون,I,হওয়া,IMPV,2MP,كُونُوا,হও (তোমরা),Quran words - level1.pdf,31,
3,1,1,امن,IV,বিশ্বাস করা,PERF,3MS,آمَنَ,সে বিশ্বাস করেছে,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,PERF,3MP,آمَنُوا,তারা বিশ্বাস করেছে,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,PERF,2MS,آمَنْتَ,তুমি বিশ্বাস করেছো,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,PERF,2MP,آمَنْتُمْ,তোমরা বিশ্বাস করেছো,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,PERF,1S,آمَنْتُ,আমি বিশ্বাস করেছি,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,PERF,1P,آمَنَّا,আমরা বিশ্বাস করেছি,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,IMPF,3MS,يُؤْمِنُ,সে বিশ্বাস করে / করবে,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,IMPF,3MP,يُؤْمِنُونَ,তারা বিশ্বাস করে / করবে,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,IMPF,2MS,تُؤْمِنُ,তুমি বিশ্বাস কর / করবে,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,IMPF,2MP,تُؤْمِنُونَ,তোমরা বিশ্বাস কর / করবে,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,IMPF,1S,أُومِنُ,আমি বিশ্বাস করি / করব,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,IMPF,1P,نُؤْمِنُ,আমরা বিশ্বাস করি / করব,Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,IMPV,2MS,آمِنْ,বিশ্বাস করো (তুমি),Quran words - level1.pdf,32,
3,1,1,امن,IV,বিশ্বাস করা,IMPV,2MP,آمِنُوا,বিশ্বাস করো (তোমরা),Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,PERF,3MS,عَلِمَ,সে জেনেছে,Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,PERF,3MP,عَلِمُوا,তারা জেনেছে,Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,PERF,2MS,عَلِمْتَ,তুমি জেনেছো,Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,PERF,2MP,عَلِمْتُمْ,তোমরা জেনেছো,Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,PERF,1S,عَلِمْتُ,আমি জেনেছি,Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,PERF,1P,عَلِمْنَا,আমরা জেনেছি,Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,IMPF,3MS,يَعْلَمُ,সে জানে / জানবে,Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,IMPF,3MP,يَعْلَمُونَ,তারা জানে / জানবে,Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,IMPF,2MS,تَعْلَمُ,তুমি জানো / জানবে,Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,IMPF,2MP,تَعْلَمُونَ,তোমরা জানো / জানবে,Quran words - level1.pdf,32,
